code,nom,departement,tube,couleur_tube,delai,jeune,remarques
GLU,Glucose (Glycémie),Chimie,Fluorure (gris),gris,1h (urgent) / 4h (routine),Oui (8-12h),Le tube fluorure inhibe la glycolyse. En cas d'HGPO : prélèvements à T0 T60 T120 min.
CREA,Créatinine,Chimie,Sec (rouge),rouge,1h (urgent) / 4h (routine),Non,Un repas riche en viande peut augmenter transitoirement la créatinine.
UREE,Urée,Chimie,Sec (rouge),rouge,4h,Non,Augmente avec un régime hyperprotéiné / déshydratation / hémorragies digestives.
ALAT,ALAT (TGP) — Transaminases,Chimie,Sec (rouge),rouge,4h,Non,Plus spécifique du foie que l'ASAT. Peut être élevée par certains médicaments.
ASAT,ASAT (TGO) — Transaminases,Chimie,Sec (rouge),rouge,4h,Non,Moins spécifique du foie que l'ALAT. Rapport ASAT/ALAT utile (alcool / Wilson).
GGT,Gamma GT (γ-GT),Chimie,Sec (rouge),rouge,4h,Oui (préférable),Marqueur sensible mais peu spécifique.
CHOL,Cholestérol total,Chimie,Sec (rouge),rouge,4h,Oui (12h),Interpréter avec HDL / LDL et triglycérides.
TG,Triglycérides,Chimie,Sec (rouge),rouge,4h,Oui strict (12h),Très sensibles à l'alimentation récente et à l'alcool.
HDL,Cholestérol HDL,Chimie,Sec (rouge),rouge,4h,Oui (12h),HDL bas = facteur de risque CV indépendant.
CRP,Protéine C-réactive (CRP),Chimie,Sec (rouge),rouge,1h (urgent) / 4h (routine),Non,Augmente dès 6h après le stimulus inflammatoire. Plus rapide que la VS.
FER,Fer sérique,Chimie,Sec (rouge),rouge,4h,Oui (matin),Toujours interpréter avec ferritine et transferrine.
FERR,Ferritine,Chimie,Sec (rouge),rouge,4h,Non,Peut être faussement élevée en cas d'inflammation.
HBA1C,Hémoglobine glyquée (HbA1c),Chimie,EDTA (violet),violet,24h,Non,Faussée par les hémoglobinopathies (drépanocytose / thalassémie).
IONO,Ionogramme (Na / K / Cl),Chimie,Héparine lithium (vert),vert,1h (urgent) / 4h (routine),Non,K+ élevé si hémolyse ou garrot prolongé.
CA,Calcium total,Chimie,Sec (rouge) — PAS d'EDTA,rouge,4h,Non,JAMAIS sur tube EDTA (chélateur du Ca).
AU,Acide urique,Chimie,Sec (rouge),rouge,4h,Oui (préférable),Augmenté par les purines / l'alcool / la déshydratation.
NFS,Numération Formule Sanguine (NFS),Hématologie,EDTA (violet),violet,1h (urgent) / 4h (routine),Non,Examen de base. Frottis sanguin si anomalies.
VS,Vitesse de sédimentation (VS),Hématologie,Citrate de sodium (noir),bleu,2h,Non,Moins réactif que la CRP. Accéléré par anémie / grossesse.
